epsilon,delta,batch_size,max_grad_norm,cifar_label,victim_accuracy,attack_accuracy
0.1,1e-05,32,0.1,0,17.1,49.3577
0.1,1e-05,32,0.1,1,17.1,50.1002
0.1,1e-05,32,0.1,2,17.1,50.4286
0.1,1e-05,32,0.1,3,17.1,50.2513
0.1,1e-05,32,0.1,4,17.1,50.1253
0.1,1e-05,32,0.1,5,17.1,50.4796
0.1,1e-05,32,0.1,6,17.1,49.2854
0.1,1e-05,32,0.1,7,17.1,49.4560
0.1,1e-05,32,0.1,8,17.1,50.5051
0.1,1e-05,32,0.1,9,17.1,50.
0.1,1e-05,32,2.0,0,21.27,49.3577
0.1,1e-05,32,2.0,1,21.27,50.0501
0.1,1e-05,32,2.0,2,21.27,50.0756
0.1,1e-05,32,2.0,3,21.27,50.2513
0.1,1e-05,32,2.0,4,21.27,50.1253
0.1,1e-05,32,2.0,5,21.27,50.5805
0.1,1e-05,32,2.0,6,21.27,49.3346
0.1,1e-05,32,2.0,7,21.27,49.9011
0.1,1e-05,32,2.0,8,21.27,50.7576
0.1,1e-05,32,2.0,9,21.27,50.3000
0.1,1e-05,32,10.0,0,11.91,49.4071
0.1,1e-05,32,10.0,1,11.91,50.1002
0.1,1e-05,32,10.0,2,11.91,50.4286
0.1,1e-05,32,10.0,3,11.91,50.2513
0.1,1e-05,32,10.0,4,11.91,50.1253
0.1,1e-05,32,10.0,5,11.91,50.4796
0.1,1e-05,32,10.0,6,11.91,49.2361
0.1,1e-05,32,10.0,7,11.91,49.4560
0.1,1e-05,32,10.0,8,11.91,50.5051
0.1,1e-05,32,10.0,9,11.91,50.
1.0,1e-05,32,0.1,0,39.04,50.29644268774704
1.0,1e-05,32,0.1,1,39.04,51.90380761523046
1.0,1e-05,32,0.1,2,39.04,51.18507312153303
1.0,1e-05,32,0.1,3,39.04,50.301507537688444
1.0,1e-05,32,0.1,4,39.04,50.42606516290727
1.0,1e-05,32,0.1,5,39.04,50.32811711256941
1.0,1e-05,32,0.1,6,39.04,49.38393297190734
1.0,1e-05,32,0.1,7,39.04,49.653808110781405
1.0,1e-05,32,0.1,8,39.04,50.707070707070706
1.0,1e-05,32,0.1,9,39.04,51.2
1.0,1e-05,32,2.0,0,36.28,50.098814229249015
1.0,1e-05,32,2.0,1,36.28,51.40280561122245
1.0,1e-05,32,2.0,2,36.28,50.22692889561271
1.0,1e-05,32,2.0,3,36.28,50.45226130653266
1.0,1e-05,32,2.0,4,36.28,50.37593984962406
1.0,1e-05,32,2.0,5,36.28,51.48914689550732
1.0,1e-05,32,2.0,6,36.28,50.02464268112371
1.0,1e-05,32,2.0,7,36.28,49.40652818991098
1.0,1e-05,32,2.0,8,36.28,51.61616161616162
1.0,1e-05,32,2.0,9,36.28,51.4
1.0,1e-05,32,10.0,0,22.75,49.11067193675889
1.0,1e-05,32,10.0,1,22.75,50.20040080160321
1.0,1e-05,32,10.0,2,22.75,50.22692889561271
1.0,1e-05,32,10.0,3,22.75,50.25125628140704
1.0,1e-05,32,10.0,4,22.75,49.774436090225564
1.0,1e-05,32,10.0,5,22.75,50.58051489146896
1.0,1e-05,32,10.0,6,22.75,49.38393297190734
1.0,1e-05,32,10.0,7,22.75,49.40652818991098
1.0,1e-05,32,10.0,8,22.75,50.55555555555556
1.0,1e-05,32,10.0,9,22.75,49.9
10.0,1e-05,32,0.1,0,47.35,50.98814229249012
10.0,1e-05,32,0.1,1,47.35,53.50701402805611
10.0,1e-05,32,0.1,2,47.35,51.73978819969743
10.0,1e-05,32,0.1,3,47.35,50.95477386934673
10.0,1e-05,32,0.1,4,47.35,52.68170426065163
10.0,1e-05,32,0.1,5,47.35,51.287228672387684
10.0,1e-05,32,0.1,6,47.35,51.25677673730902
10.0,1e-05,32,0.1,7,47.35,52.176063303659745
10.0,1e-05,32,0.1,8,47.35,52.878787878787875
10.0,1e-05,32,0.1,9,47.35,52.15
10.0,1e-05,32,2.0,0,43.7,51.77865612648221
10.0,1e-05,32,2.0,1,43.7,52.35470941883767
10.0,1e-05,32,2.0,2,43.7,50.47907211296016
10.0,1e-05,32,2.0,3,43.7,51.15577889447236
10.0,1e-05,32,2.0,4,43.7,51.578947368421055
10.0,1e-05,32,2.0,5,43.7,51.287228672387684
10.0,1e-05,32,2.0,6,43.7,51.355347461803845
10.0,1e-05,32,2.0,7,43.7,52.62116716122651
10.0,1e-05,32,2.0,8,43.7,51.96969696969697
10.0,1e-05,32,2.0,9,43.7,52.45
10.0,1e-05,32,10.0,0,33.64,50.0
10.0,1e-05,32,10.0,1,33.64,50.901803607214426
10.0,1e-05,32,10.0,2,33.64,50.17650025214322
10.0,1e-05,32,10.0,3,33.64,50.50251256281407
10.0,1e-05,32,10.0,4,33.64,50.32581453634085
10.0,1e-05,32,10.0,5,33.64,50.126198889449775
10.0,1e-05,32,10.0,6,33.64,49.53178905864958
10.0,1e-05,32,10.0,7,33.64,49.25816023738872
10.0,1e-05,32,10.0,8,33.64,50.45454545454545
10.0,1e-05,32,10.0,9,33.64,49.75
100.0,1e-05,32,0.1,0,49.0,51.383399209486164
100.0,1e-05,32,0.1,1,49.0,54.609218436873746
100.0,1e-05,32,0.1,2,49.0,52.344931921331316
100.0,1e-05,32,0.1,3,49.0,52.21105527638191
100.0,1e-05,32,0.1,4,49.0,53.03258145363409
100.0,1e-05,32,0.1,5,49.0,52.24634023220596
100.0,1e-05,32,0.1,6,49.0,52.68605224248398
100.0,1e-05,32,0.1,7,49.0,52.72007912957468
100.0,1e-05,32,0.1,8,49.0,53.535353535353536
100.0,1e-05,32,0.1,9,49.0,55.0
00.0,1e-05,32,2.0,0,47.1,51.18577075098814
100.0,1e-05,32,2.0,1,47.1,53.70741482965932
100.0,1e-05,32,2.0,2,47.1,51.99193141704488
100.0,1e-05,32,2.0,3,47.1,52.96482412060301
100.0,1e-05,32,2.0,4,47.1,52.581453634085214
100.0,1e-05,32,2.0,5,47.1,51.64058556284705
100.0,1e-05,32,2.0,6,47.1,51.05963528831937
100.0,1e-05,32,2.0,7,47.1,53.06627101879327
100.0,1e-05,32,2.0,8,47.1,54.04040404040404
100.0,1e-05,32,2.0,9,47.1,54.7
100,1e-05,32,10,0,38.83,50.3458498
100,1e-05,32,10,1,38.83,50.5511022
100,1e-05,32,10,2,38.83,50.17650025
100,1e-05,32,10,3,38.83,50.60301508
100,1e-05,32,10,4,38.83,50.52631579
100,1e-05,32,10,5,38.83,50.227158
100,1e-05,32,10,6,38.83,50.17249877
100,1e-05,32,10,7,38.83,50.19782394
100,1e-05,32,10,8,38.83,51.16161616
100,1e-05,32,10,9,38.83,50
0.1,1e-05,32,0.1,0,19.9,48.81422925
0.1,1e-05,32,0.1,1,19.9,50.0501002
0.1,1e-05,32,0.1,2,19.9,50.32778618
0.1,1e-05,32,0.1,3,19.9,50.30150754
0.1,1e-05,32,0.1,4,19.9,50.12531328
0.1,1e-05,32,0.1,5,19.9,50.47955578
0.1,1e-05,32,0.1,6,19.9,49.28536225
0.1,1e-05,32,0.1,7,19.9,49.45598417
0.1,1e-05,32,0.1,8,19.9,50.50505051
0.1,1e-05,32,0.1,9,19.9,50
0.1,1e-05,32,10,0,10.22,49.40711462
0.1,1e-05,32,10,1,10.22,50.1002004
0.1,1e-05,32,10,2,10.22,50.42864347
0.1,1e-05,32,10,3,10.22,50.25125628
0.1,1e-05,32,10,4,10.22,50.12531328
0.1,1e-05,32,10,5,10.22,50.47955578
0.1,1e-05,32,10,6,10.22,49.28536225
0.1,1e-05,32,10,7,10.22,49.45598417
0.1,1e-05,32,10,8,10.22,50.50505051
0.1,1e-05,32,10,9,10.22,50
0.1,1e-05,32,100,0,11.28,49.45652174
0.1,1e-05,32,100,1,11.28,50.0501002
0.1,1e-05,32,100,2,11.28,50.42864347
0.1,1e-05,32,100,3,11.28,50.25125628
0.1,1e-05,32,100,4,11.28,50.22556391
0.1,1e-05,32,100,5,11.28,50.47955578
0.1,1e-05,32,100,6,11.28,49.28536225
0.1,1e-05,32,100,7,11.28,49.45598417
0.1,1e-05,32,100,8,11.28,50.50505051
0.1,1e-05,32,100,9,11.28,50
0.1,1e-05,128,0.1,0,27.57,49.40711462
0.1,1e-05,128,0.1,1,27.57,50.1002004
0.1,1e-05,128,0.1,2,27.57,50.42864347
0.1,1e-05,128,0.1,3,27.57,50.25125628
0.1,1e-05,128,0.1,4,27.57,50.12531328
0.1,1e-05,128,0.1,5,27.57,50.47955578
0.1,1e-05,128,0.1,6,27.57,49.28536225
0.1,1e-05,128,0.1,7,27.57,49.45598417
0.1,1e-05,128,0.1,8,27.57,50.50505051
0.1,1e-05,128,0.1,9,27.57,50
0.1,1e-05,128,10,0,14.15,49.40711462
0.1,1e-05,128,10,1,14.15,50.1002004
